Numero_Factura,Fecha,Proveedor,Insumo,Cantidad,Precio_Unit,Total
CC525CO,18/09/2025,PAPELERIA,FOLLETO INICIO,1.0,25000.0,25000.0
798,19/09/2025,MADERAS PASOANCHO SAS,GUADUA DE 6 MTS - 0,28.0,20000.0,560000.0
798,19/09/2025,MADERAS PASOANCHO SAS,MANTO VERDE X 100MTS (c/IVA),3.0,138655.0,494998.35
798,19/09/2025,MADERAS PASOANCHO SAS,PUNTILLA DE 21/2 (c/IVA),10.0,4201.0,49991.9
798,19/09/2025,MADERAS PASOANCHO SAS,BALASTRO MTR - 0,1.0,90000.0,90000.0
798,19/09/2025,MADERAS PASOANCHO SAS,PALA BELLOTA # 2 - 0 (c/IVA),2.0,18487.0,43999.06
798,19/09/2025,MADERAS PASOANCHO SAS,CABO PARA PALA - 0,2.0,12000.0,24000.0
798,19/09/2025,MADERAS PASOANCHO SAS,CARRETA BUGGI BELLOTA ROJA - 0  (c/IVA),1.0,218487.0,259999.53
798,19/09/2025,MADERAS PASOANCHO SAS,BARETA DE 2 CM - 0,85.0,3500.0,297500.0
CC526CO,23/09/2025,ISOTANQUES YUMBO,ISOTANQUES,2.0,200000.0,400000.0
CC526CO,23/09/2025,ISOTANQUES YUMBO,PARQUEADER,1.0,150000.0,150000.0
109105,23/09/2025,SUPERWASH,AGUA,1.0,30000.0,30000.0
PCE 53369,23/09/2025,PLASTICOS CALIBRADOS SAS,PLASTICO NEGRO,1.0,520000.0,520000.0
F002-89637,23/09/2025,FERRETERIA MODERNA CENTER TOOLS S.A.S.,CADENA GALVANIZADA 3/8,2.0,33000.0,66000.0
F002-89637,23/09/2025,FERRETERIA MODERNA CENTER TOOLS S.A.S."",CANDADO FANAL 63 MM HIERRO,1.0,29200.0,29200.0
F002-89637,23/09/2025,FERRETERIA MODERNA CENTER TOOLS S.A.S."",GUANTE NYLON MAVERICK XL,2.0,7500.0,15000.0
RE-191614,24/09/2025,IMPORTACIONES EL CRISOL LTDA,CINTA P/SEÑALIZACION X 500 MT (c/IVA),1.0,25666.0,30542.54
CC527CO,24/09/2025,FERRETODO "LA Z",CABO PALA,1.0,14000.0,14000.0
CC527CO,24/09/2025,FERRETODO "LA Z",BISTURI,1.0,4500.0,4500.0
170,24/09/2025,PLASTICOS COLOMBIA VALLE,CUÑETE VACÍO ,10.0,10000.0,100000.0
EP0965347,24/09/2025,OPERADORES DE ESTACIONES DE SERVICIO LTDA,GASOLINA CORRIENTE,6.0,15670.0,94020.0
CC528CO,26/09/2025,ICON IMPRESIONES,VALLA OBRA,1.0,40000.0,40000.0
CC529CO,30/09/2025,VEREAL MAQUINARIA SAS,ALQUILER BOBCAT 18 HORAS,1.0,1650000.0,1650000.0
PASO11619,3/10/2025, MADERAS PASO ANCHO SAS,BARETA DE 4 CM - 0,6.0,3500.0,21000.0
PASO11619,3/10/2025, MADERAS PASO ANCHO SAS,MANTO VERDE X 100MTS (c/IVA),1.0,138655.0,164999.44999999998
PASO11619,3/10/2025, MADERAS PASO ANCHO SAS,GUADUA DE 6 MTS - 0,2.0,20000.0,40000.0
EP0965348,4/10/2025,OPERADORES DE ESTACIONES DE SERVICIO LTDA,GASOLINA CORRIENTE,1.0,15000.0,15000.0
EP0965349,4/10/2025,OPERADORES DE ESTACIONES DE SERVICIO LTDA,GASOLINA CORRIENTE,1.0,30000.0,30000.0
3860,4/10/2025,FERROELECTRICOS DON ALBERT,SEGUETA,1.0,13000.0,13000.0
3860,4/10/2025,FERROELECTRICOS DON ALBERT,HOJA SEGUETA,1.0,5000.0,5000.0
CC530CO,7/10/2025,JHONATHAN BANGUERA,PRADO TRENZA CON TRANSPORTE,222.0,5500.0,1221000.0
CC530CO,7/10/2025,JHONATHAN BANGUERA,TIERRA NEGRA,1.0,350000.0,350000.0
NAC019481,3/10/2025,GEOMATRIX S.A.S,GEOTEXTIL PROPYWEAVE T2100 (c/IVA),418.0,2808.0,1396755.36
NAC019481,3/10/2025,GEOMATRIX S.A.S,TRANSPORTE (c/IVA),1.0,220000.0,261800.0
EP0965884,8/10/2025,OPERADORES DE ESTACIONES DE SERVICIO LTDA,GASOLINA CORRIENTE,6.258,15670.0,98062.86
