Item,Descripción,Unidad,Cantidad,Costo Unitario,Código Análisis,Tipo
1. PRELIMINARES,,,,,chapter,chapter
1.1,CERRAMIENTO POLISOMBRA TUPIDA H=2.00,ML,332.66,"$10,250.00",10-01-19,analysis
1.2,CARGUE DE SALDO EN SITIO (MANUAL),M3,205.72,"$6,836.00",08-01-12,analysis
1.3,"RETIRO TIERRA Y ESCOMBROS, DISPOSICIÓN EN SITIO AUTORIZADO CERTIFICADO (INCL. FACTOR DE EXPANSIÓN)-KM",M3K,4587.45,"$1,943.94",71-01-47,analysis
2. ADECUACIÓN PISTA DE TROTE A ZONA VERDE,,,,,chapter,chapter
2.1,DEMOLICION PAVIMENTO FLEXIBLE (INCLUYE CARGUE),M3,17.77,"$38,781.00",08-10-07,analysis
2.2,DEMOLICION SARDINEL CONCRETO 15 X 15 CM.,ML,212.02,"$1,950.00",10-04-16,analysis
2.3,"RELLENO CON TIERRA NEGRA Y ARENA, PROPORCION 70/30 (30% TIERRA)",M3,22.22,"$20,115.00",30-02-31,analysis
2.4,PRADO TRENZA,M2,222.17,"$7,608.00",30-02-30,analysis
3. ADECUACIÓN PISTA DE ASFALTO,,,,,chapter,chapter
3.1,EXCAVACION TIERRA A MANO.,M3,183.17,"$18,058.00",10-06-01,analysis
3.2,CONFORM.COMPACT.SUBRASANTE CBR=95,M2,425.98,"$2,549.00",01-01-15,analysis
3.3,CORDON CONCRETO 3000 PSI (15 x 35 CM),ML,25.0,"$28,562.00",20-01-42,analysis
3.4,GEOTEXTIL TEJIDO 2100,M2,425.98,"$4,542.00",11-09-04,analysis
3.5,SUB-BASE COMP.MAT. TIPO INVIAS (CLASE A) CON TRANSPORTE,M3,63.9,"$70,112.00",08-02-07,analysis
3.6,"MEDIO FILTRANTE GRAVA <=1"" CU=0.95-1""",M3,34.08,"$26,950.00",04-06-02,analysis
3.7,BASE COMP.MAT. TIPO INVIAS (CLASE A) CON TRANSPORTE,M3,42.6,"$84,099.00",08-02-08,analysis
3.8,CARBONILLA,M2,425.98,"$6,091.00",20-04-45,analysis
3.9,CILINDRO COMPACTADOR DE 3 TONELADAS (ALQUILER),H,3,"$52,000.00",71-01-49,analysis
4. ADECUACIÓN DE AREAS EN GRAMA,,,,,chapter,chapter
4.1,LIMPIEZA LAVADO SUPERFICIE- EQ.PRESION,M2,65.7,"$1,127.00",31-01-09,analysis
4.2,"SUMINISTRO, TRANSPORTE E INSTALACIÓN DE PISO EN GRAMA SINTÉTICA MONOFILAMENTO DE POLIETILENO, (SEGÚN ESPECIFICACION)",M2,65.7,"$121,575.00",71-01-48,analysis
5. GESTION DE OBRA,,,,,chapter,chapter
5.1,Gestion Ambiental,UND,1,"$3,052,000.00",71-01-50,analysis
5.2,Gestión Social,UND,1,"$3,052,000.00",71-01-51,analysis
5.3,Gestión e implementación PMT,UND,1,"$5,052,000.00",71-01-52,analysis
5.4,"Porovisionales (VALLA ESP 0,50X0,70; según decreto 1140 de 1998)",UND,1,"$2,154,039.00",71-01-53,analysis

=== DATOS AIU ===

COSTO DIRECTO,57119389.323
ADMINISTRACIÓN,$0.00
IMPREVISTOS,$0.00
UTILIDAD,$0.00
IVA UTILIDAD,$0.00
TOTAL COSTOS INDIRECTOS,$0.00
TOTAL PRESUPUESTO,57119389.323
