codigo,descripcion,unidad,total
01-01-01,CORTE ARBOL MAS RETIRO(INCL.RAICES)H>3.0,UND,106594.0
01-01-02,CORTE Y RETIRO DE ARBUSTO,UND,9735.0
01-01-03,DEMOL.CAMARA DE CONCRETO,UND,177396.0
01-01-04,DEMOL.LOSA CONCRETO E<=20CMS,M2,29615.0
01-01-05,DEMOL.LOSA CONCRETO E<=15CMS,M2,25220.0
01-01-06,LOCALIZACION-REPLANTEO ACUEDUCTO-ALCANTA,ML,1867.0
01-01-07,LOCALIZACION-REPLANTEO C.MULTIPLE-PISTAS,M2,932.0
01-01-08,MANEJO DE AGUAS RESIDUALES,ML,8949.0
01-01-09,RETIRO DE ARBUSTO Y POSTERIOR TRANSPLANT,UND,12899.0
01-01-10,"RETIRO TUBERIA EXISTENTE 0"" A 12""",ML,6424.0
01-01-11,"RETIRO TUBERIA EXISTENTE 14"" A 24""",ML,20028.0
01-01-12,LOCALIZACION-REPLANTEO PARQUES-Z.VERDES,M2,932.0
01-01-13,LOCALIZACION-REPLANTEO CANCHA-FUTBOL,M2,407.0
01-01-14,LOCALIZACION-REPLANTEO CERRAMIENTO-VARIO,ML,2006.0
01-01-15,CONFORM.COMPACT.SUBRASANTE CBR=95,M2,2549.0
01-01-16,"CORTE Y RETIRO RAIZ D=4""- 12""",ML,6365.0
01-01-17,"CORTE Y RETIRO RAIZ 12.1""-20.0""",ML,19903.0
01-01-18,CORTE Y RETIRO ARBUSTO CERCO VIVO H=2.0M,ML,38246.0
01-02-01,ACARREO MATERIALES PETREOS-TIERRA-VARIOS,M3K,1716.0
01-02-02,DESCAPOTE MAQUINA,M2,266.0
01-02-04,EXCAVACION EN ROCA,M3,46360.0
01-02-05,EXCAVACION MAQUINA ALCANT.Y ACUEDUCTO,M3,2640.0
01-02-06,RELLENO MATERIAL SITIO COMPACTADO CILIND,M3,13427.0
01-02-07,RELLENO ROCA MUERTA COMPAC-CILINDRO,M3,27378.0
01-02-09,CARGUE MAT. EXCAV. A MAQUINA (SIN TRANSP,M3,3853.0
01-02-15,CONFIGURACION-NIVELACION TERRENO,M2,747.0
02-01-01,ESTACION EB1,UND,10022459.0
02-01-02,ESTACION EB2,UND,5458628.0
02-01-03,ESTACION EB3,UND,2827837.0
02-03-04,"TUB CONCRETO SIMPLED= 6""UNION CAUCHO",ML,24534.0
02-03-05,"TUB CONCRETO SIMPLED=10""UNION CAUCHO",ML,39458.0
02-03-06,"TUB CONCRETO SIMPLED=12""UNION CAUCHO",ML,65906.0
02-03-07,"TUB CONCRETO SIMPLED=15""UNION CAUCHO",ML,0.0
02-03-08,"TUB CONCRETO SIMPLE D=18""UNION CAUCHO",ML,103491.0
