codigo_recurso,descripcion_recurso,unidad_recurso,cantidad_recurso,desper,vr_unitario,vr_parcial,codigo_analisis
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,6.0,0.0,8949.0,53694.0,01-01-01
MQ0207,VOLQUETA 5 M3,VJE,1.0,0.0,46500.0,46500.0,01-01-01
MQ0301,HERRAMIENTA MENOR,GLB,4.0,0.0,1600.0,6400.0,01-01-01
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.3,0.0,8949.0,2685.0,01-01-02
MQ0207,VOLQUETA 5 M3,VJE,0.1,0.0,46500.0,4650.0,01-01-02
MQ0301,HERRAMIENTA MENOR,GLB,1.5,0.0,1600.0,2400.0,01-01-02
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,4.0,0.0,8949.0,35796.0,01-01-03
MQ0105,COMPRESOR DE DOS MARTILLOS,HRS,2.0,0.0,70000.0,140000.0,01-01-03
MQ0301,HERRAMIENTA MENOR,GLB,1.0,0.0,1600.0,1600.0,01-01-03
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.5,0.0,8949.0,4475.0,01-01-04
MQ0105,COMPRESOR DE DOS MARTILLOS,HRS,0.35,0.0,70000.0,24500.0,01-01-04
MQ0301,HERRAMIENTA MENOR,GLB,0.4,0.0,1600.0,640.0,01-01-04
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.4,0.0,8949.0,3580.0,01-01-05
MQ0105,COMPRESOR DE DOS MARTILLOS,HRS,0.3,0.0,70000.0,21000.0,01-01-05
MQ0301,HERRAMIENTA MENOR,GLB,0.4,0.0,1600.0,640.0,01-01-05
001596,LISTON 2x2x300 OTOBO,UND,0.05,0.0,5900.0,295.0,01-01-06
002294,PUNTILLA 2CC,LBS,0.01,0.0,3900.0,39.0,01-01-06
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.02,0.0,32845.0,657.0,01-01-06
MOTO01,MANO OBRA TOPOGRAFIA1 CADENERO-1 TOP,HC,0.008,0.0,66168.0,529.0,01-01-06
MQ0301,HERRAMIENTA MENOR,GLB,0.2,0.0,1600.0,320.0,01-01-06
001596,LISTON 2x2x300 OTOBO,UND,0.03,0.0,5900.0,177.0,01-01-07
002294,PUNTILLA 2CC,LBS,0.01,0.0,3900.0,39.0,01-01-07
003843,PIOLA GRUESA,ROL,0.01,0.0,2700.0,27.0,01-01-07
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.02,0.0,32845.0,657.0,01-01-07
MQ0301,HERRAMIENTA MENOR,GLB,0.02,0.0,1600.0,32.0,01-01-07
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,1.0,0.0,8949.0,8949.0,01-01-08
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,0.8,0.0,8949.0,7159.0,01-01-09
MQ0207,VOLQUETA 5 M3,VJE,0.12,0.0,46500.0,5580.0,01-01-09
MQ0301,HERRAMIENTA MENOR,GLB,0.1,0.0,1600.0,160.0,01-01-09
MOAG02,MANO OBRA ALBANILERIA2 AYUDANTE,HC,0.35,0.0,17897.0,6264.0,01-01-10
MQ0301,HERRAMIENTA MENOR,GLB,0.1,0.0,1600.0,160.0,01-01-10
MOAG03,MANO OBRA ALBANILERIA3 AYUDANTE,HC,0.6,0.0,26846.0,16108.0,01-01-11
MQ0205,RETROEXCAVADORA JD-510,HRS,0.03,0.0,88000.0,2640.0,01-01-11
MQ0301,HERRAMIENTA MENOR,GLB,0.8,0.0,1600.0,1280.0,01-01-11
001596,LISTON 2x2x300 OTOBO,UND,0.03,0.0,5900.0,177.0,01-01-12
002294,PUNTILLA 2CC,LBS,0.01,0.0,3900.0,39.0,01-01-12
003843,PIOLA GRUESA,ROL,0.01,0.0,2700.0,27.0,01-01-12
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.02,0.0,32845.0,657.0,01-01-12
MQ0301,HERRAMIENTA MENOR,GLB,0.02,0.0,1600.0,32.0,01-01-12
001596,LISTON 2x2x300 OTOBO,UND,0.035,0.0,5900.0,207.0,01-01-13
002294,PUNTILLA 2CC,LBS,0.003,0.0,3900.0,12.0,01-01-13
003843,PIOLA GRUESA,ROL,0.003,0.0,2700.0,8.0,01-01-13
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,0.005,0.0,32845.0,164.0,01-01-13
001596,LISTON 2x2x300 OTOBO,UND,0.05,0.0,5900.0,295.0,01-01-14
002294,PUNTILLA 2CC,LBS,0.01,0.0,3900.0,39.0,01-01-14
003843,PIOLA GRUESA,ROL,0.01,0.0,2700.0,27.0,01-01-14
