Codigo,Descripcion,Unidad,Valor Unitario
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,8949.0
MQ0207,VOLQUETA 5 M3,VJE,46500.0
MQ0301,HERRAMIENTA MENOR,GLB,1600.0
MQ0105,COMPRESOR DE DOS MARTILLOS,HRS,70000.0
001596,LISTON 2x2x300 OTOBO,UND,5900.0
002294,PUNTILLA 2CC,LBS,3900.0
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,32845.0
MOTO01,MANO OBRA TOPOGRAFIA1 CADENERO-1 TOP,HC,66168.0
003843,PIOLA GRUESA,ROL,2700.0
MOAG02,MANO OBRA ALBANILERIA2 AYUDANTE,HC,17897.0
MOAG03,MANO OBRA ALBANILERIA3 AYUDANTE,HC,26846.0
MQ0205,RETROEXCAVADORA JD-510,HRS,88000.0
MQ0204,MOTONIVELADORA CAT-12-F,HRS,139500.0
MQ0206,VIBROCOMPACTADOR CA-15,HRS,107100.0
MQ0222,CARROTANQUE AGUA,DIA,277000.0
MQ0236,MINICARGADOR BOBCAT,HRS,75000.0
MQ0221,VOLQUETA(ACARREO),M3K,1320.0
MQ0210,RETROEXCAVADORA CARGADORA,HRS,101150.0
002414,ROCA MUERTA,M3,8800.0
000214,AGUA,LTS,30.0
MOIS01,MANO OBRA HIDROSANIT.1 AYUDANTE-1 OFI,HC,25391.0
000518,BOM.SUM. 2 HP,UND,4996556.0
000519,"""BOM.230VTRIF,ARRDIREC,3""""",UND,2365765.0
000239,BALASTRO DE RIO,M3,19500.0
002959,"""TUBO CONCRETO CII6""""",ML,15490.0
001350,GRAVA TRITURADA.3/4,M3,52571.0
002946,"""TUBO CONCRETO CII 10""""",ML,25199.0
002947,"""TUBO CONCRETO CII 12""""",ML,47908.0
002949,"""TUBO CONCRETO CII 15""""",ML,71618.0
002950,"""TUBO CONCRETO CII 18""""",ML,73472.0
002951,"""TUBO CONCRETO CII 21""""",ML,98153.0
MOTO02,MANO OBRA TOPOGRAFIA 2 CADENERO-1 TOP,HC,80691.0
002952,"""TUBO CONCRETO CII 24""""",ML,119977.0
002954,"""TUBO CONCRETO CII 27""""",ML,210636.0
002955,"""TUBO CONCRETO CII 30""""",ML,217855.0
002960,"""TUBO CONCRETO CII8""""",ML,20606.0
002956,"""TUBO CONCRETO CII 33""""",ML,286983.0
002957,"""TUBO CONCRETO CII 36""""",ML,358840.0
005465,TUBO CONCRETO CII 1.0M HR,ML,319129.0
005466,TUBO CONCRETO CII 1.1M HR,ML,373099.0
002556,TABLA 1x10x300 OTOBO,UND,13007.0
003890,FORMALETA CAMARA INSPECCIO,UND,54213.0
003999,HIERR.DE 60000 PSI 420 MPA,KLS,4287.0
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4000.0
001046,"""CUARTON 2""""x4""""x300 OTOBO",UND,15500.0
001401,"""HIERRO .3/8"""" 60.000 [6",KLS,1294.0
001718,"""HIERRO .1/4"""" 37.000 [C",KG,4000.0
001722,"""HIERRO .1/2"""" 60.000 [6",KG.,4000.0
002322,PUNTILLA.1/2AC,LBS,3660.0
MQ0124,VIBRADOR,DIA,30146.0
001365,GUADUA[TACO] 2.50-3M,UND,10500.0
MOIS02,MANO OBRA HIDRO1 AYUDANTE - 1 OFI+10 A2,HC,35087.0
MQ0217,CAMION TRANSPORTE CARGA 5.1-10 TONELADAS,VJE,2400.0
000501,"""VAL CHAPALETA Q 4.1LT D6""",UND,464035.0
000506,"""VAL CHAPALETA Q 4.1LT D8""",UND,814274.0
000507,"""VAL CHAPAL Q=4.1LT/S D10""",UND,2217920.0
000508,"""VAL CHAPALETA Q4.1LT D12""",UND,2188487.0
000188,"""TUBO SAN 4""""PVC-110M",ML,16433.0
000237,HIDROSELLO NOVAFORT 110MM,UND,2240.0
000521,ADHESIVO NOVAFORT,GLN,86557.0
000522,ACONDICION SUPERF NOVAFORT,GLN,100962.0
000193,"""TUBO SAN 6""""PVC-160M",ML,39721.0
000238,HIDROSELLO NOVAFORT 160MM,UND,4797.0
000190,"""TUBO SAN 8""""PVC-200M",ML,48666.0
000240,HIDROSELLO NOVAFORT 200MM,UND,8631.0
000192,"""TUBO SAN 10""""PVC-250M",ML,54050.0
000241,HIDROSELLO NOVAFORT 250MM,UND,15305.0
000191,"""TUBO SAN 12""""PVC-315M",ML,116106.0
000242,HIDROSELLO NOVAFORT 315MM,UND,31766.0
000525,"""TUBO SAN 16""""PVC-400M",ML,140875.0
000536,HIDROSELLO NOVAFORT 400MM,UND,64692.0
000526,"""TUBO SAN 18""""PVC-450M",ML,238100.0
000537,HIDROSELLO NOVAFORT 450MM,UND,93512.0
000527,"""TUBO SAN 20""""PVC-500M",ML,296421.0
000538,HIDROSELLO NOVAFORT 500MM,UND,105002.0
000520,LUBRICANTE TUB PVC/500GR,UND,18232.0
005480,"""TUBO SAN 24""""PVC NOVA",ML,406002.0
005481,"""TUBO SAN 27""""PVC NOVA",ML,476338.0
005482,"""TUBO SAN 30""""PVC NOVA",ML,594873.0
005483,"""TUBO SAN 33""""PVC NOVA",ML,674001.0
001588,LIMPIADOR PVC 760GRMS,UND,43125.0
005571,"""TUBO PVC 6"""" ALIG RIB LO",ML,44260.0
005572,"""TUBO PVC 8"""" ALIG RIB LO",ML,59634.0
005573,"""TUBO PVC 10"""" ALIG RIB LO",ML,82972.0
005574,"""TUBO PVC 12"""" ALIG RIB LO",ML,123102.0
005575,"""TUBO PVC 14"""" ALIG RIB LO",ML,145466.0
004894,MOTOR EL.BOMB5HP,UND,929885.0
004889,MOTOR EL.BOMB 15HP,UND,2255012.0
004892,MOTOR EL.BOMB 20HP,UND,2588250.0
004905,MOTOR EL.BOMB 25HP,UND,2779650.0
004904,MOTOR EL.BOMB 35HP,UND,4622600.0
004907,MOTOR EL.BOMB 50HP,UND,6652600.0
004900,MOTOR EL.BOMB 60HP,UND,7703850.0
004887,MOTOR EL.100HP 3600RPM BOM,UND,11024350.0
