Cargo,Valor Mensual,Porcentaje de Dedicación,Duración de la Obra,Valor Total en Pesos,Es Obligatorio
DIRECTOR DE OBRA ING CIVIL,3320000,0.5,6,9960000,TRUE
RESIDENTE DE OBRA ING CIVIL,2500000,1.0,6,15000000,TRUE
TECNICO O TECNOLOGO MAESTRO DE OBRA,1800000,1.0,6,10800000,TRUE
COORDINADOR DE SEGURIDAD Y SALUD EN EL TRABAJO,1800000,1.0,6,10800000,TRUE
DIRECTOR DE OBRA ARQUITECTO,3320000,0.5,6,9960000,FALSE
RESIDENTE DE OBRA ARQUITECTO,2500000,1.0,6,15000000,FALSE
INGENIERO ESTRUCTURAL,5410000,0.2,6,6492000,FALSE
ESPECIALISTA EN GERENCIA DE OBRA,6480000,0.2,6,7776000,FALSE
INGENIERO SANITARIO,2500000,0.2,6,3000000,FALSE
INGENIERO ELECTRICO,2500000,0.2,6,3000000,FALSE
INGENIERO MECÁNICO,2500000,0.2,6,3000000,FALSE
